#SIMPLE:     #PTHREAD:      #OPENBLAS:      #MKL:       
0            2            0            19           
0            2            0            3            
0            2            0            3            
14           1            0            3            
0            2            0            3            
0            2            0            3            
0            2            0            3            
0            2            0            3            
0            5            0            4            
0            2            0            3            
